Lr: 5.596e-03 | Update: 1.057e-03 mean,1.869e-03 std | Epoch: [0][890/1594] | Time 3.923 (3.921) | Data 0.522 (0.524) | Loss 0.1181 (0.3670) | acc 0.285 (0.157) | IoU 0.274 (0.152) | [12 days, 6:09:09]
Lr: 5.659e-03 | Update: 7.110e-04 mean,1.286e-03 std | Epoch: [0][900/1594] | Time 3.918 (3.922) | Data 0.501 (0.524) | Loss 0.1207 (0.3641) | acc 0.287 (0.158) | IoU 0.276 (0.153) | [12 days, 6:10:15]
Lr: 5.721e-03 | Update: 4.891e-04 mean,9.335e-04 std | Epoch: [0][910/1594] | Time 3.876 (3.922) | Data 0.501 (0.524) | Loss 0.0952 (0.3612) | acc 0.289 (0.160) | IoU 0.278 (0.154) | [12 days, 6:09:50]
Lr: 5.784e-03 | Update: 9.847e-04 mean,1.740e-03 std | Epoch: [0][920/1594] | Time 3.987 (3.922) | Data 0.515 (0.524) | Loss 0.1010 (0.3583) | acc 0.291 (0.161) | IoU 0.280 (0.156) | [12 days, 6:09:15]
Lr: 5.847e-03 | Update: 1.104e-03 mean,2.063e-03 std | Epoch: [0][930/1594] | Time 3.896 (3.922) | Data 0.508 (0.524) | Loss 0.0907 (0.3555) | acc 0.294 (0.162) | IoU 0.282 (0.157) | [12 days, 6:09:30]
Lr: 5.910e-03 | Update: 8.168e-04 mean,1.434e-03 std | Epoch: [0][940/1594] | Time 3.879 (3.922) | Data 0.510 (0.524) | Loss 0.1070 (0.3527) | acc 0.296 (0.164) | IoU 0.285 (0.158) | [12 days, 6:06:54]
Lr: 5.972e-03 | Update: 9.562e-04 mean,1.603e-03 std | Epoch: [0][950/1594] | Time 3.775 (3.922) | Data 0.511 (0.524) | Loss 0.0972 (0.3498) | acc 0.299 (0.165) | IoU 0.287 (0.160) | [12 days, 6:06:40]
Lr: 6.035e-03 | Update: 8.550e-04 mean,1.449e-03 std | Epoch: [0][960/1594] | Time 3.873 (3.922) | Data 0.532 (0.524) | Loss 0.0719 (0.3470) | acc 0.301 (0.167) | IoU 0.289 (0.161) | [12 days, 6:04:46]
Lr: 6.098e-03 | Update: 1.531e-03 mean,3.118e-03 std | Epoch: [0][970/1594] | Time 3.920 (3.922) | Data 0.506 (0.524) | Loss 0.0789 (0.3443) | acc 0.303 (0.168) | IoU 0.292 (0.162) | [12 days, 6:03:25]
Lr: 6.161e-03 | Update: 1.587e-03 mean,2.651e-03 std | Epoch: [0][980/1594] | Time 4.030 (3.922) | Data 0.517 (0.524) | Loss 0.0801 (0.3417) | acc 0.305 (0.169) | IoU 0.294 (0.164) | [12 days, 6:03:07]
Lr: 6.223e-03 | Update: 1.252e-03 mean,2.081e-03 std | Epoch: [0][990/1594] | Time 3.761 (3.921) | Data 0.508 (0.524) | Loss 0.0903 (0.3391) | acc 0.308 (0.171) | IoU 0.296 (0.165) | [12 days, 6:01:09]
Lr: 6.286e-03 | Update: 1.317e-03 mean,2.097e-03 std | Epoch: [0][1000/1594] | Time 3.856 (3.921) | Data 0.503 (0.524) | Loss 0.0938 (0.3366) | acc 0.310 (0.172) | IoU 0.298 (0.166) | [12 days, 6:00:04]
Lr: 6.349e-03 | Update: 1.707e-03 mean,2.948e-03 std | Epoch: [0][1010/1594] | Time 3.974 (3.921) | Data 0.516 (0.524) | Loss 0.0838 (0.3340) | acc 0.312 (0.174) | IoU 0.300 (0.168) | [12 days, 5:59:02]
Lr: 6.412e-03 | Update: 6.467e-04 mean,1.120e-03 std | Epoch: [0][1020/1594] | Time 3.901 (3.922) | Data 0.509 (0.524) | Loss 0.0745 (0.3315) | acc 0.315 (0.175) | IoU 0.303 (0.169) | [12 days, 6:00:35]
Lr: 6.474e-03 | Update: 1.232e-03 mean,2.390e-03 std | Epoch: [0][1030/1594] | Time 3.975 (3.921) | Data 0.531 (0.524) | Loss 0.0839 (0.3291) | acc 0.317 (0.176) | IoU 0.305 (0.170) | [12 days, 5:57:34]
Lr: 6.537e-03 | Update: 1.212e-03 mean,2.015e-03 std | Epoch: [0][1040/1594] | Time 3.903 (3.921) | Data 0.513 (0.524) | Loss 0.1368 (0.3272) | acc 0.319 (0.178) | IoU 0.307 (0.172) | [12 days, 5:54:02]
Lr: 6.600e-03 | Update: 1.266e-03 mean,2.221e-03 std | Epoch: [0][1050/1594] | Time 3.789 (3.920) | Data 0.513 (0.524) | Loss 0.1118 (0.3254) | acc 0.322 (0.179) | IoU 0.309 (0.173) | [12 days, 5:52:44]
